id,teks,keterangan
indo1,Matahari adalah bintang pusat dari Tata Surya yang memiliki diameter sekitar 1.4 juta kilometer.,Matahari
indo2,Bumi adalah planet ketiga dari Matahari dalam Tata Surya dan satu-satunya planet yang diketahui memiliki kehidupan.,Bumi
indo3,Merkurius adalah planet terkecil di Tata Surya dan terdekat dengan Matahari.,Merkurius
indo4,"Venus adalah planet kedua dari Matahari dalam Tata Surya dan dikenal sebagai ""planet kembar"" Bumi karena ukurannya yang hampir sama.",Venus
indo5,"Mars adalah planet keempat dari Matahari dalam Tata Surya dan dikenal sebagai ""planet merah"" karena warnanya yang khas.",Mars
indo6,"Yupiter adalah planet terbesar di Tata Surya dan memiliki banyak satelit, termasuk Ganymede yang merupakan satelit terbesar di Tata Surya.",Yupiter
indo7,Saturnus adalah planet kedua terbesar di Tata Surya dan dikenal karena cincinnya yang mencolok.,Saturnus
indo8,Uranus adalah planet yang miringnya sangat ekstrem dalam Tata Surya dan merupakan satu-satunya planet yang diberi nama dari mitologi Yunani.,Uranus
indo9,Neptunus adalah planet terjauh dari Matahari dalam Tata Surya dan dikenal karena angin yang sangat kencang di atmosfernya.,Neptunus
indo10,"Pluto dulunya dianggap sebagai planet kesembilan dalam Tata Surya, namun sekarang diklasifikasikan sebagai ""planet kerdil"" oleh IAU.",Pluto
